run_id,date_hint,category,method,experiment_purpose,status,hosts,storage_locations,relative_paths,branch_commits,has_metrics,has_summary,has_checkpoint,has_archive,archive_paths,keep_or_delete,migration_decision,migration_reason,notes
stars_dqs_no_gc_k1_20260924_recovered,20260924,more_gus_scans,STARS+DQS+MaxWeight+QBS+Uniform,Recover matched load and joint-resource scans after alias correction,failed_recovered,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260924_recovered,runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260924_recovered,erik/moreGUs frozen_source=fcc0e02;reused_load_source=0b74f86,yes,yes,yes,yes,source.tar;checkpoints/,keep,friday_primary,Retained unchanged;208accepted jobs imported by20260925successor,196primary and12final batches complete;primary plots ready;next final batch exited-11 during PyTorch hipify import;failed output excluded;startup fault not proven fixed
stars_dqs_no_gc_k1_20260925_final_recovery,20260925,more_gus_scans,STARS+DQS+MaxWeight+QBS+Uniform,Complete final diagnostics after process startup fault,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260925_final_recovery | local:runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260925_final_recovery,runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260925_final_recovery,erik/moreGUs frozen_source=717b93d;imported_source=fcc0e02,yes,yes,yes,yes,source.tar;checkpoints/,keep,friday_primary,Archived evaluator and plotting source identical to predecessor,280/280batches;8960records;208hash-verified imports plus72new jobs;6272primary plus2688final;zero observed collisions;all horizons250;16PNG/PDF pairs;verification.json passed;completed20260925T145136+0800;GC and QCCS excluded;local compact artifacts only
final_import_segfault_20260925,20260925,more_gus_scans,STARS original final45211,Isolated reproduction of failed evaluator startup,completed,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_scans/diagnostics/final_import_segfault_20260925,runs/experiments/more_gus_scans/diagnostics/final_import_segfault_20260925,erik/moreGUs frozen_source=fcc0e02,yes,yes,no,no,source and checkpoint in failed predecessor,keep,friday_primary,Diagnostic only;not in comparison matrix,Same command except output path;load1;seed45211 finalu500;eval seedbase1980000;32episodes;rc0;12.45seconds;no runtime changes;does not establish root cause
fixed_nominal_k1_20260924_173145,20260924,more_gus_baselines,DQS+MaxWeight+QBS+Uniform,Frozen-training-aligned fixed-policy acceptance,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_baselines/fixed_nominal_k1_20260924_173145 | local:runs/experiments/more_gus_baselines/fixed_nominal_k1_20260924_173145,runs/experiments/more_gus_baselines/fixed_nominal_k1_20260924_173145,erik/moreGUs execution_source=387432c,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Matched frozen100GU training config,GPU0;320episodes executed;256current-roster +64historical QCCS;DQS replaces QCCS;32envs;K1;T250;weights0/0;native shield;10/10jobs passed;all collisions0
load_k1_20260924_173145,20260924,more_gus_baselines,fixed_scan_plan,Prepare load scan from100GU frozen config,superseded_plan,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_baselines/plans/load_k1_20260924_173145,runs/experiments/more_gus_baselines/plans/load_k1_20260924_173145,erik/moreGUs plan_source=387432c,no,no,no,yes,source.tar on Friday,keep,friday_primary,Superseded by four-method DQS roster; never executed,Old five-method manifest retained;QCCS excluded from current plots
load_dqs_k1_20260924,20260924,more_gus_baselines,fixed_scan_plan,Prepare load scan from100GU frozen config,superseded_plan,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_baselines/plans/load_dqs_k1_20260924,runs/experiments/more_gus_baselines/plans/load_dqs_k1_20260924,erik/moreGUs source recorded in manifest,no,no,no,yes,source.tar on Friday,keep,friday_primary,Superseded by combined STARS+DQS scan; not executed,7points x4methods x2seedbases=56jobs;DQS+MaxWeight+QBS+Uniform;20-80Mbps total arrival
resource_k1_20260924_173145,20260924,more_gus_baselines,fixed_scan_plan,Prepare resource scan from100GU frozen config,superseded_plan,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_baselines/plans/resource_k1_20260924_173145,runs/experiments/more_gus_baselines/plans/resource_k1_20260924_173145,erik/moreGUs plan_source=387432c,no,no,no,yes,source.tar on Friday,keep,friday_primary,Superseded by four-method DQS roster; never executed,Old five-method manifest retained;QCCS excluded from current plots
resource_dqs_k1_20260924,20260924,more_gus_baselines,fixed_scan_plan,Prepare resource scan from100GU frozen config,superseded_plan,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_baselines/plans/resource_dqs_k1_20260924,runs/experiments/more_gus_baselines/plans/resource_dqs_k1_20260924,erik/moreGUs source recorded in manifest,no,no,no,yes,source.tar on Friday,keep,friday_primary,Superseded by combined STARS+DQS scan; not executed,7points x4methods x2seedbases=56jobs;DQS+MaxWeight+QBS+Uniform;joint access+backhaul+CPU scaling
bootstrap_phase4_3uav100gu_k1_seed61723_20260920_183803,20260920,more_gus_training,bootstrap_gae,Seed-only replication of Phase4 protocol in 3UAV100GU 40Mbps 4MHz K1,running,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed61723_20260920_183803,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed61723_20260920_183803,erik/moreGUs source=801bcc4,yes,no,yes,no,,keep,friday_primary,independent seed replication GPU1,64envs T250 max700;eval25x32;minstop300 patience4;same training source and config except seed;reused protocol acceptance plus device smoke;automatic selected and final eval
bootstrap_phase4_3uav100gu_k1_seed45210_20260920_183803,20260920,more_gus_training,bootstrap_gae,Seed-only replication of Phase4 protocol in 3UAV100GU 40Mbps 4MHz K1,running,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45210_20260920_183803,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45210_20260920_183803,erik/moreGUs source=801bcc4,yes,no,yes,no,,keep,friday_primary,independent seed replication GPU0,64envs T250 max700;eval25x32;minstop300 patience4;same training source and config except seed;reused protocol acceptance plus device smoke;automatic selected and final eval
bootstrap_phase4_3uav100gu_k1_seed45211_20260920_120135,20260920,more_gus_training,bootstrap_gae,Phase4 protocol qualification in 3UAV100GU 40Mbps 4MHz K1,completed,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45211_20260920_120135,runs/experiments/more_gus_training/bootstrap_phase4_3uav100gu_k1_seed45211_20260920_120135,erik/moreGUs source=b69af48 controller=1026be2,yes,yes,yes,no,,keep,friday_primary,first formal native CUDA seed,64envs T250 max700;eval25x32;minstop300 patience4;preflight passed;source isolated;started20260920T121851+0800;stopped_u500_reward_plateau;selected_u400;heldout64_reward168.761_vs_final167.170;render_seed1980000
distributed_queue_c_no_motion_penalty_20260917,20260917,more_gus,distributed_queue_c,executed C zero movement and switch penalty trial,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c_no_motion_penalty_20260917 | local:runs/experiments/distributed_queue_c_no_motion_penalty_20260917/render,runs/experiments/distributed_queue_c_no_motion_penalty_20260917,erik/moreGUs@a5215e1 with hashed isolated override harness,yes,yes,no,no,,keep,independent_worktree,Friday evaluation and local render copy,K1 40/4;16 episodes; actual weights0/0; production defaults unchanged; no control runs
distributed_queue_c_k1_20260917,20260917,more_gus,distributed_queue_c,K1 alignment and passive mobility audit,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c_k1_20260917 | local:runs/experiments/distributed_queue_c_k1_20260917/render,runs/experiments/distributed_queue_c_k1_20260917,erik/moreGUs@5446e76 + margin diagnostic76d558b,yes,yes,no,no,,keep,independent_worktree,Friday evaluation and local render copy,paired K1/K5 seed974000+975000; 16 episodes per K; no score changes; 37/48 stationary UAV traces; no training
distributed_queue_c_render_20260916,20260916,more_gus,distributed_queue_c,native episode visualization and baseline parity,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c_render_20260916/native | local:runs/experiments/distributed_queue_c_render_20260916/native,runs/experiments/distributed_queue_c_render_20260916/native,erik/moreGUs renderer change after836e847,yes,yes,no,no,,keep,independent_worktree,visual artifact copied locally,one env seed974000 T250; summary exactly matches independent baseline CLI; 51 frames; no training
distributed_queue_c_reward_20260915,20260915,more_gus,distributed_queue_c,dedicated baseline evaluation with cumulative reward,completed,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c_reward_20260915,runs/experiments/distributed_queue_c_reward_20260915,erik/moreGUs@04826bb,yes,yes,no,no,,keep,independent_worktree,Friday evaluation then GitHub evidence sync,16 episodes; seed974000 and 975000; GPU0; reward mean35.3617 std4.0622; 40/4; screening
distributed_queue_c_fixed_entry_20260915,20260915,more_gus,distributed_queue_c,dedicated fixed-baseline CLI acceptance and new-seed screen,completed,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c_fixed_entry_20260915,runs/experiments/distributed_queue_c_fixed_entry_20260915,erik/moreGUs@f4fb4e9,yes,yes,no,no,,keep,independent_worktree,Friday native CUDA acceptance,40/4; 2 cases x 8 episodes; seed971000 exact replay plus new973000; GPU0; not formal
distributed_queue_bc_corrected_20260915,20260915,more_gus,distributed_queue_b_c,corrected shared peer geometry evaluation,completed,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_bc_corrected_20260915,runs/experiments/distributed_queue_bc_corrected_20260915,erik/moreGUs@295043e,yes,yes,no,no,,keep,independent_worktree,Friday evaluation then GitHub evidence sync,8 cases x 8 episodes; seed971000 and 972000; GPU0; developmental screening not formal; supersedes invalid ABC and C2 geometry results
distributed_queue_c2_20260915,20260915,more_gus,distributed_queue_b_c2,frozen B score and corrected C risk screening,invalid_geometry_history,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_c2_20260915,runs/experiments/distributed_queue_c2_20260915,erik/moreGUs@9abbb34,yes,yes,no,no,,keep,independent_worktree,Friday-first implementation,8 cases x 8 episodes; seed971000 and 972000; GPU0; C2 risk sign fixed; B overlap remains frozen legacy; not formal
distributed_queue_20260915,20260915,more_gus,distributed_queue_abc,local-observation movement baseline implementation and screening,invalid_geometry_history,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/distributed_queue_20260915,runs/experiments/distributed_queue_20260915,erik/moreGUs@ad0797b,yes,yes,no,no,,keep,independent_worktree,Friday-first development then GitHub sync,12 cases x 8 episodes; seed971000; GPU0; C experimental and not collision-free
more_gus_capacity_20260915,20260915,more_gus,three_native_rule_baselines,100GU load bandwidth screening,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_capacity_20260915 | local:runs/experiments/more_gus_capacity_20260915,runs/experiments/more_gus_capacity_20260915,erik/moreGUs@70e3ce2,yes,yes,no,no,,keep,independent_worktree,GitHub mediated synchronization,27 of 27 completed; 216 episodes; seed970000; GPU0; no training; compact evidence in docs/paper/evidence_tables/more_gus_capacity_20260915.json
autodl_formal_k5_joint_mcgae_20260524_144214,20260524_144214,diagnostic,,original formal joint MC-GAE training result used as early reference policy,observed_outputs,friday+s9,s9:D:/sagin_marl/runs/diagnostics/autodl_formal_k5_joint_mcgae_20260524_144214 | friday:/home/sgy/workspace/sagin_marl/runs/historical/diagnostics/autodl_formal_k5_joint_mcgae_20260524_144214,runs/diagnostics/autodl_formal_k5_joint_mcgae_20260524_144214 | runs/historical/diagnostics/autodl_formal_k5_joint_mcgae_20260524_144214,s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T23:28:15+08:00 from s9; timestamp-preserving rsync/tar copy,friday historical copy size=535M; source locations retained
mc_formal_3uav20gu_t250_k5_300u_seed45210_20260601_112543,20260601_112543,phase2,,formal MC baseline training,observed_outputs,friday+s9,s9:D:/sagin_marl/runs/phase2/mc_formal_3uav20gu_t250_k5_300u_seed45210_20260601_112543 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/mc_formal_3uav20gu_t250_k5_300u_seed45210_20260601_112543,runs/phase2/mc_formal_3uav20gu_t250_k5_300u_seed45210_20260601_112543 | runs/historical/phase2/mc_formal_3uav20gu_t250_k5_300u_seed45210_20260601_112543,s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-25T01:26:13+08:00 from s9; timestamp-preserving rsync/tar copy,friday historical copy size=534M; source locations retained
mc_vs_bootstrap_formal_3uav20gu_t250_k5_300u_20260602_022040,20260602_022040,phase2,mc_vs_bootstrap+bootstrap,formal MC-vs-bootstrap baseline training,directory_only,friday+s9,s9:D:/sagin_marl/runs/phase2/mc_vs_bootstrap_formal_3uav20gu_t250_k5_300u_20260602_022040 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/mc_vs_bootstrap_formal_3uav20gu_t250_k5_300u_20260602_022040,runs/phase2/mc_vs_bootstrap_formal_3uav20gu_t250_k5_300u_20260602_022040 | runs/historical/phase2/mc_vs_bootstrap_formal_3uav20gu_t250_k5_300u_20260602_022040,s9:mac-python-rollout@63fbdd2 dirty=4,no,no,no,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-25T01:26:13+08:00 from s9; timestamp-preserving rsync/tar copy,friday historical copy size=208K; source locations retained
bootstrap_formal_3uav20gu_t250_k5_300u_micro250_20260602_030753,20260602_030753,phase2,bootstrap,formal bootstrap GAE baseline training,observed_outputs,friday+s9,s9:D:/sagin_marl/runs/phase2/bootstrap_formal_3uav20gu_t250_k5_300u_micro250_20260602_030753 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/bootstrap_formal_3uav20gu_t250_k5_300u_micro250_20260602_030753,runs/phase2/bootstrap_formal_3uav20gu_t250_k5_300u_micro250_20260602_030753 | runs/historical/phase2/bootstrap_formal_3uav20gu_t250_k5_300u_micro250_20260602_030753,s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-25T01:27:03+08:00 from s9; timestamp-preserving rsync/tar copy,friday historical copy size=536M; source locations retained
hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523,20260603_145523,phase2,bootstrap+hybrid,MC warm-start then bootstrap continuation experiment,observed_outputs,friday+autodl+s9,autodl:/root/autodl-tmp/sagin_marl/runs/phase2/hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523 | s9:D:/sagin_marl/runs/phase2/hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523,runs/phase2/hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523 | runs/historical/phase2/hybrid_mc100_bootstrap200_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_145523,autodl:mac-python-rollout@b010c5e dirty=1 | s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T22:49:56+08:00 from autodl; timestamp-preserving rsync/tar copy,friday historical copy size=608M; source locations retained
hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023,20260603_175023,phase2,hybrid,MC/bootstrap mixed-target schedule experiment,observed_outputs,friday+autodl+s9,autodl:/root/autodl-tmp/sagin_marl/runs/phase2/hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023 | s9:D:/sagin_marl/runs/phase2/hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023,runs/phase2/hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023 | runs/historical/phase2/hybrid_mix_alpha1to03_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_175023,autodl:mac-python-rollout@b010c5e dirty=1 | s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T22:51:08+08:00 from autodl; timestamp-preserving rsync/tar copy,friday historical copy size=535M; source locations retained
hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356,20260603_195356,phase2,bootstrap+mc_aux+hybrid,bootstrap with MC auxiliary target experiment,observed_outputs,friday+autodl+s9,autodl:/root/autodl-tmp/sagin_marl/runs/phase2/hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356 | s9:D:/sagin_marl/runs/phase2/hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356,runs/phase2/hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356 | runs/historical/phase2/hybrid_bootstrap_mcaux_beta0p3_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_195356,autodl:mac-python-rollout@b010c5e dirty=1 | s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T22:53:04+08:00 from autodl; timestamp-preserving rsync/tar copy,friday historical copy size=535M; source locations retained
hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045,20260603_214045,phase2,hybrid+nstep,n-step return hybrid target experiment,observed_outputs,friday+autodl+s9,autodl:/root/autodl-tmp/sagin_marl/runs/phase2/hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045 | s9:D:/sagin_marl/runs/phase2/hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045 | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045,runs/phase2/hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045 | runs/historical/phase2/hybrid_nstep64_3uav20gu_t250_k5_300u_seed45210_autodl_20260603_214045,autodl:mac-python-rollout@b010c5e dirty=1 | s9:mac-python-rollout@63fbdd2 dirty=4,yes,no,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T22:55:51+08:00 from autodl; timestamp-preserving rsync/tar copy,friday historical copy size=535M; source locations retained
fixed_tau_causal_u150_u250_20260604_191911_autodl,20260604_191911,phase2,fixed_tau,fixed-tau causal test from u150 to u250,observed_outputs,local+friday+autodl+s9,local:/Users/erik/Documents/GitHub/sagin_marl/runs/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl | autodl:/root/autodl-tmp/sagin_marl/runs/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl | s9:D:/sagin_marl/runs/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl | friday:/home/sgy/workspace/sagin_marl/runs/historical/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl,runs/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl | runs/historical/phase2/fixed_tau_causal_u150_u250_20260604_191911_autodl,autodl:mac-python-rollout@b010c5e dirty=1 | local:phase2-bw-degradation@ff32886 | s9:mac-python-rollout@63fbdd2 dirty=4,yes,yes,yes,no,,keep,migrated_to_friday_high,migrated to friday historical on 2026-06-24T23:03:24+08:00 from autodl; timestamp-preserving rsync/tar copy,friday historical copy size=1.6G; source locations retained
